Country,SatisfactionResponse,QuestionNumber,QuestionString,QuestionResponse,Count
American Samoa,-0.5,Q03,Vol_Resourceful,1.25,4
American Samoa,-0.5,Q04,Vol_Patient,0.5,4
American Samoa,-0.5,Q05,Vol_Culturally_Competent,1,4
American Samoa,-0.5,Q06,Vol_Adaptable,1.25,4
American Samoa,-0.5,Q07,Vol_Emotionally_Intelligent,1.25,4
American Samoa,-0.5,Q08,Vol_Resilient,1.5,4
American Samoa,-0.5,Q09,Professional_Learning_Communities,-1,4
American Samoa,-0.5,Q10,The_Five_Step_Lesson_Plan_Template,-0.75,4
American Samoa,-0.5,Q11,Data_Analysis_Tool,-1,4
American Samoa,-0.5,Q12,Professional_Development_Modules_Scholarly_Articles,-1,4
American Samoa,-0.5,Q13,WorldTeachNet	Education,-1,4
American Samoa,-0.5,Q14,FD_Was_accessible_and_eager_to_help,0.25,4
American Samoa,-0.5,Q15,FD_Responded_promptly_to_requests_for_help,0.25,4
American Samoa,-0.5,Q16,FD_Anticipated_needs_of_volunteers,-0.5,4
American Samoa,-0.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,0.25,4
American Samoa,-0.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,0.5,4
American Samoa,-0.5,Q20,The_site_visit_was_useful_to_me,0,4
American Samoa,-0.5,Q21,SV_FS_me_feel_supported,0.25,4
American Samoa,-0.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,0,4
American Samoa,-0.5,Q23,I_felt_safe_in_my_home,0.5,4
American Samoa,-0.5,Q24,I_felt_safe_in_my_community,0.5,4
American Samoa,-0.5,Q25,I_felt_safe_in_my_country_of_service,1,4
American Samoa,-0.5,Q28,WorldTeach_Offered_a_useful_service_to_the_host_country,1,4
American Samoa,-0.5,Q29,WorldTeach_Gave_me_a_meaningful_teaching_experience,0.5,4
American Samoa,-0.5,Q30,WorldTeach_Increased_my_understanding_of_another_culture,0.75,4
American Samoa,-0.5,Q31,WorldTeach_Improved_my_skills_in_the_local_language,-0.5,4
American Samoa,-0.5,Q32,WorldTeach_Helped_definechange_my_career_outlook,0.5,4
American Samoa,-0.5,Q33,WorldTeach_Provided_a_worthwhile_experience,1,4
American Samoa,-0.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,-0.25,4
American Samoa,-0.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,-0.75,4
American Samoa,-0.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,-0.25,4
American Samoa,-0.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,-0.25,4
American Samoa,-0.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,-0.25,4
American Samoa,-0.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,-0.25,4
American Samoa,0.5,Q03,Vol_Resourceful,0.5,3
American Samoa,0.5,Q04,Vol_Patient,0.833333333,3
American Samoa,0.5,Q05,Vol_Culturally_Competent,0.5,3
American Samoa,0.5,Q06,Vol_Adaptable,0.5,3
American Samoa,0.5,Q07,Vol_Emotionally_Intelligent,0.5,3
American Samoa,0.5,Q08,Vol_Resilient,0.5,3
American Samoa,0.5,Q09,Professional_Learning_Communities,-0.166666667,3
American Samoa,0.5,Q10,The_Five_Step_Lesson_Plan_Template,0.5,3
