Respondent ID,Collector ID,Start Date,End Date,IP Address,Program Country:,Program Duration:,Other (please specify),Program Start Month,Program Start Year:,"If we use quotes from you, may we use your name in addition to your program?",I would describe myself as:Resourceful,I would describe myself as:Patient,I would describe myself as:Culturally Competent,I would describe myself as:Adaptable,I would describe myself as:Emotionally Intelligent,I would describe myself as:Resilient,"What have your biggest accomplishments been, both professionally and personally? ",What has been your greatest frustration or disappointment? What could have made it less so?,What things do you wish you had brought?,What things do you wish you had NOT brought?,What do you wish you had known about this country (e.g. living and working here) that you did not know before coming?,How has your experience thus far compared to your initial expectations?,Please comment on how your experience has compared to your initial expectations.,I feel safe in my home.,I feel safe in my community.,"I feel integrated into my community, increasing my sense of safety.",I feel welcome as a foreigner in my community.,"I have friends, host family members, colleagues, or community members who would help protect me in an emergency situation.",The coverage of health and safety issues at Orientation was sufficient.,"I have an understanding of what to do in various emergency situations, as laid out in the Emergency Action Plan.",I always inform the Field Director of my travel plans when I go off-site.,I generally feel safe in my country.,Please comment on any of the above.,I have a copy of the Emergency Action Plan:,I know who to call (and who will call me) in an emergency:,"Please comment in regards to safety in country (e.g. what could be improved, suggestions, etc.):",I received quality medical care.,The medical facilities were sanitary.,I could communicate with the medical staff adequately.,I received quality service & support from the WorldTeach insurance.,Please comment on any of the above.,My students are interested in learning in my class,I feel appreciated for my teaching,My local language skills are adequate for my teaching placement,My teaching skills are adequate for my teaching placement,"Please comment on any of the above,.",My school supplied me with a Teacher Guide or Textbook,The Internet,Professional Learning Communities (PLCs),Teacher Quality Coordinator,Volunteer Resource Manual,WorldTeachNet,Professional Learning Communities (PLCs) are useful to me,The Five Step Lesson Plan Template is useful to me,The Data Analysis Tool is useful to me,The Professional Development Modules (Scholarly Articles) are useful to me,WorldTeachNet is useful to me,The Teacher Quality Coordinator is useful to me,The Director of Education Office Hours are useful to me,I am satisfied in the Educational Support I have access to from WorldTeach,In what ways could the WorldTeach Office of Education provide you with stronger teacher support?,My experience living with my host family is positive.,I feel like a member of my family.,I participate in family activities.,I enjoy the food served by my family.,I would recommend my family for another volunteer.,Please comment on any of the above.,Are there any problems with your host family/living situation and/or unusual circumstances we should know about?,How necessary is competence in the local language for living at your site?,The staff member:Is accessible and eager to help.,The staff member:Responds promptly to requests for help.,The staff member:Anticipates needs of volunteers.,"The staff member:Follows through on administrative, site, or housing issues.",The staff member:Keeps volunteers informed of changes and relevant information.,Has the Field Director conducted a site visit with you yet?,The site visit was useful to me.,The Field Director made me feel comfortable and supported.,The Field Director gave me useful and professional suggestions.
5490518776,98597567,2/16/2018 17:54,2/16/2018 18:28,203.78.154.91,Marshall Islands,Yearlong,,July,2017,Name and Program,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Personally, learning to adjust to Island time and become a more patient person has been a big deal. I was never the most patient person in the US, but you have to learn to relax and not stress over time if you want to make it out here. Professionally, seeing my students really picking up the language skills and being excited about learning has been extremely rewarding. Seeing the students get excited about coming to class and being engaged in lessons is a great feeling. ","I think one of the biggest frustrations has been the diet. It is very difficult to get a nutritious diet in the outer Islands. On church days and special occasions we get great food, but our diet is 90% rice and tuna. Getting access to vegetables has been better in the last 2 months, but it has definitely been a struggle throughout the year. ",More stuff from home to give to the host family. And one pair of slacks,Less electronics,I wish I had known a little bit more about the diet and food situation. I had heard from some past volunteers that it could be difficult but I didn't know how difficult it would be to have a healthy diet. ,My experience meets my initial expectations,I thought that parts of it would be wonderful and some parts would be challenging and I think that it was a pretty accurate assessment. I love the teaching and community and I struggle with the diet and Marshallese time.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Yes,"In Arno atoll I have absolutely zero safety concerns. It is a very friendly and welcoming community with no crime to speak of at all. In Majuro the only concern is watching out for people that are drinking, but that is something that was covered at orientation. ",Neutral,Agree,Agree,Neutral,,Agree,Agree,Agree,Agree,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Just making sure at check ins that we have all of the supplies we need for school. Or sending out small amounts of school supplies,Neutral,Disagree,Agree,Disagree,Disagree,Our host family is very large and has had many volunteers and I think it would be best if another host family was found in Ine. They are great in a lot of ways but at times we felt like a paycheck to them. ,"We have had issues with the spending of stipend money on things other than food by our host family. We have talked to our director and assistant field director about these issues. We are now receiving food instead of money in monthly shipments. This has been better, but we are still struggling with the fact that there are 20 people in our household and food goes very, very quickly. I do not think that this family should host again.","Very important for Ine. Some people speak English pretty well, but everything is much easier if you speak Marshallese",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree
5490511296,98597567,2/16/2018 17:11,2/16/2018 17:28,203.78.154.91,Marshall Islands,Yearlong,,July,2017,Name and Program,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,One of my biggest accomplishments has been creating curriculum from scratch to use with my students. My partner and I have also worked hard to adapt to life with a Marshallese Family. We have learned much of the language and feel comfortable communicating with our community. ,Adjusting to the food provided by our family. Around the middle of the year we changed the way World Teach provides stipend money/food to the family and this has helped. ,"More bug spray, more durable clothing. ","So much sunscreen (It's too hot to use it, it just sweats off)",I wish I had known how expensive everything is here and that I would be spending a lot of my own money for basic needs. ,My experience falls short of my initial expectations,"WorldTeach has not been as supportive, financially and in other ways, as I had hoped. I have also had more difficulty adapting to the culture than I expected. ",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Yes,Safety is not an issue. ,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,,Agree,N/A,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,N/A,N/A,N/A,N/A,N/A,Neutral,"I felt supported by my previous teaching experience - but as an outer island teacher, most of these resources were not available to me. ",Neutral,Agree,Agree,Disagree,Disagree,Our family has had many volunteer and we think it has changed the way they treat volunteers. We plan to work with the principal to find a new family next year. ,"The family seems indifferent at times to having volunteers. We are often not invited to things or interacted with much. Feeding us has also been challenging for the family at times. It is a large family, and we think they need a break from having volunteers, at least for a while. ","medium. A few people speak English really well, most speak Marshallese. ",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree
5486106951,98597567,2/4/2018 21:46,2/4/2018 22:23,103.202.150.245,Marshall Islands,Yearlong,,July,2017,Name and Program,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,"The toughest but most rewarding accomplishment this in the Marshall Islands has been learning how to integrate into a community that is so greatly different than my own.  I learned to push myself to participate in everything that I could, so I got my face out there and had the opportunity to talk to as many people as I could.  After that, when people started addressing me by my name, I knew that I had successfully transitioned from a foreign volunteer to a part of the community.     Professionally, it has been really cool to see my students learn how to read.  My students didn't even know letter sounds when I started working with them and now they're reading full books.  ","Behavior and classroom management continues to be an issue.  However, I don't think that is something that I have a lot of control over because this is a fairly typical problem for all teachers in this country. Other than that, the greatest frustration is what is going to happen next year.  I am having trouble planning out my future when the wifi is unreliable and it's hard to connect with companies.  It would be cool if WorldTeach helped us more with the transition back into real life. ",pants (it is completely acceptable to wear pants in my village),"nothing, I packed light","The information we got from the handover letters, from our director, and from the book we read before orientation was somewhat biased and not necessarily accurate. Therefore, I would probably like to come in with less expectations. However, I wish I had known about the vicious dogs, more of the language, and how to teach.  Also, orientation was horrible, and it would have been nice to know that my experience was not going to be anything like those first 3 weeks. ",My experience exceeds my initial expectations,"I have learned so much and I feel so at home in the Marshall Islands.  I was expecting this to be a volunteer trip where I worked to changed other people's lives, however, I feel like it has had an equally impactful change on my own life. ",Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,There wasn't enough food or water at orientation.  We all got sick and had to fight for showers.  ,Yes,Yes,,Disagree,Neutral,Neutral,Disagree,"I had an antibiotic resistant UTI that turned into a kidney infection.  The doctors were nice but they couldn't figure out what was wrong with me and kept giving me antibiotics hoping something would work. (Dr P, the doctor who WT recommends we go to  was out of town while this was happening). Finally, after 6 weeks I took Marshallese medicine and I think the infection went away.I'm going to see a doctor in the US to make sure when I get back, but this whole situation was scary. In addition, I didn't realize that you had to file within a certain amount of time and I spent $150 of my own money on healthcare. ",Neutral,Neutral,Neutral,Neutral,Teaching was the hardest part of this experience.  I am not a teacher so sometimes I felt underqualified,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,I didn't even know we had a bunch of the things listed above. ,Agree,Agree,Agree,Neutral,Agree,,,"Fine, people speak English in my village. ",Neutral,Neutral,Disagree,Neutral,Disagree,Yes,Neutral,Agree,Neutral
5485592458,98690480,2/3/2018 12:56,2/3/2018 13:31,181.198.124.6,Ecuador,Yearlong,,September,2017,Program only,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,"Personally: Finding a sense of community in a foreign country through a local church, as well as through my students.   Professionally: ",Not speaking much Spanish. It has made it much more difficult to feel comfortable doing things on my own and developing a deeper relationship with my host family and other locals.,"A good grammar book, small bills/change, rain boots, more clothes and shoes",N/A,Nothing in particular. I think WorldTeach did a good job of preparing me for the cultural differences and various things I might experience with the reading materials they provided. ,My experience falls short of my initial expectations,"I expected to connect with more of my fellow cohort members, as well as with fellow staff at C.E.C. That has not been the reality. In addition, my purpose for coming here has dwindled throughout my time here. I would benefit from being provided with other volunteer opportunities I could get involved with in addition to teaching at C.E.C.",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Deeply integrating into my community has been difficult for me with my limited Spanish.,Yes,Yes,"I don't have any specific suggestions. I believe that WorldTeach did an adequate job warning volunteers about the potential dangers living in Quito. Beyond that, it is the volunteers' responsibility to follow the advice of WorldTeach. But sometimes you are just in the wrong place at the wrong time and there is nothing anyone could have done to prevent that situation, unfortunately.",N/A,N/A,N/A,N/A,,Neutral,Agree,Agree,Neutral,"As far as students being interested in learning in my class, it really depends on the students. Some students (mainly adults) are very interested, while others (younger students) do not seem interested. In regards to teaching skills for the placement, I think WorldTeach or the host institution needs to provide more adequate grammar resources for the volunteers if they are expected to teach a certain level of English with no prior teaching experience or language studies.",Agree,Agree,Agree,N/A,N/A,Neutral,Agree,Disagree,Disagree,Agree,N/A,N/A,N/A,Disagree,,Neutral,Disagree,Disagree,Agree,Agree,"I had little to no Spanish and was placed with a host family that only speaks Spanish. That has made it difficult to connect with my host family and really feel like a part of the family. In the future, I would only place a volunteer with Spanish with this host family.",N/A,"Necessary. The family is nice, but they definitely expect you to speak in Spanish and seem to get frustrated and impatient while I'm trying to speak with them.",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Yes,Strongly Agree,Strongly Agree,Agree
5485378798,98690480,2/2/2018 16:00,2/2/2018 16:01,186.101.101.226,Ecuador,Yearlong,,September,2017,Name and Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484956067,98690480,2/1/2018 14:04,2/1/2018 14:10,201.218.11.43,Ecuador,Yearlong,,September,2018,Program only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484913589,98690480,2/1/2018 12:21,2/1/2018 12:37,186.47.137.144,Ecuador,Yearlong,,September,2017,Name and Program,Agree,Agree,Agree,Agree,Agree,Agree,My biggest accomplishment has been getting through a cycle of teaching children with very little training.  ,Getting fired was the biggest disappointment for me.  I could have been more proactive with my communication which may have made me more prepared.  ,a kindle,all my winter clothes.  WT makes it seem like Riobamba (friobamaba) is incredibly cold. In reality the weather here is very temperate  ,I wish I knew that you are expected to know certain things without receiving training.,My experience meets my initial expectations,My experience has met my expectations,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,No,No,,Agree,Agree,Neutral,Neutral,,Agree,Disagree,Neutral,Neutral,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Agree,Neutral,Neutral,Agree,Neutral,,Magdalana's brother is creepy.  He stares and takes pictures of Liza.  In the future it might be better to try and place guys here and women elsewhere.,My Spanish is pretty bad and I have been able to get by okay.  Stronger Spanish skills would be nice but certainly not necessary.,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Yes,Agree,Strongly Agree,Agree
5484814385,98690480,2/1/2018 8:08,2/1/2018 8:31,186.71.251.194,Ecuador,Yearlong,,September,2017,Name and Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484405767,98690480,1/31/2018 8:40,1/31/2018 9:00,181.198.124.6,Ecuador,Yearlong,,September,2017,Program only,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I am responding to this question with my accomplishments from my time in Ecuador.     Professional: I taught Advanced 2 at CEC and made great relationships with my students. I put in extra effort to meet with them on the weekends to improve their English. Also, I am now teaching Superior Speaking which requires a lot of planning and creativity, but I love teaching this class.    Personal: My Spanish has improved significantly, allowing me to make more friends and better integrate into my host family.",I really have not had many disappointments here.,More books ,So many nonprofessional clothes. I dress in professional clothes 5 or 6 days a week.,"Knowing Spanish is essential to making friends and breaking down barriers. Worldteach does not require volunteers to know Spanish, but I have found that those volunteers who know Spanish have had a much different and arguably better experience in Ecuador then those who only know English.    ",My experience exceeds my initial expectations,I love teaching at CEC. I love my students. I help them in every way possible and they help me navigate Ecuadorean Society. We have a wonderful relationship. ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Yes,Nothing really. I feel safe because I am with a host family who cares for me and I know the WT Staff are well prepared.,N/A,N/A,N/A,N/A,,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,N/A,Agree,N/A,Agree,Disagree,Disagree,Agree,N/A,N/A,N/A,Agree,I think they are doing a good job. Each teacher is different has different challenges so it is hard to give general advice about what the office could do better.,Agree,Agree,Agree,Agree,Agree,My host family is amazing.,"Its a little noisy, but I have adjusted.  These people really care about me. Just yesterday, they gave me a book to help my Spanish. I love them and I am pretty sure they love me too. ","Necessary. Super necessary. It reduces anxiety, increases safety, and provides for a better experience in general.",Strongly Agree,Agree,Agree,Agree,Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree
5484096712,98690480,1/30/2018 12:58,1/30/2018 13:58,181.196.48.166,Ecuador,Yearlong,,September,2017,Program only,Agree,Agree,Agree,Agree,Agree,Agree,"There have been a lot of difficulties with our program resulting from the new partnership with our university, and it's certainly been a challenge adjusting to each new change. We've had some issues with administration in both the university and World Teach, but it's been a pretty good experience so far working with fellow volunteers to achieve success.","Honestly, the biggest frustration has been feeling like we haven't been given as much support as we could have been given (and were promised at the start). It's felt a bit like we are dealing with all of these issues on our own, especially because we have no field staff directly on site. Remote availability is nice and convenient, but there's only so much they can do from far away.","I wish someone had been more clear that bringing a computer was a necessity, not a ""personal choice.""","Brought a lot more hygenic products than necessary because I wasn't sure what would be available here, or how expensive it might be.","Honestly, I was warned about the cat-calling on the streets, but I don't think I was quite prepared for just how annoying and prevalent it would be. It's actually really frustrating, but I'm not really sure how else I could've been informed about that.     It's also really frustrating sometimes dealing with the 'Ecua-time' and learning about the double standards in the workplace. We are expected to get things done as soon as they ask us, but they will do the same thing for us in twice the time, and we are expected to just deal with it.  ",My experience falls short of my initial expectations,"We've gotten a lot less support than we thought, and we've been experiencing severe disparity in working days versus the other universities in different sites, and it's been frustrating to see no results or solutions (except for ""future cohorts"").",Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,"For the most part I feel safe during the day, but I usually try to avoid being out and about too much at nighttime because anything could happen. In Ambato, it's not nearly as bad as it is in Quito, however.",Yes,Yes,"Orientation was kind of rushed (and it's also a big blur, honestly) because there was so much information thrown at us in a very short time right when we arrived in-country, so I wish there had been a little bit more time for us to absorb the information. I understand that we had to have a shorter orientation because of time constrictions, but I just felt a little bit unprepared for everything that was coming because it all happened so fast. It was too much information in a short period of time, so hopefully it's better in programs with longer orientation times.",N/A,N/A,N/A,N/A,,Neutral,Neutral,Neutral,Neutral,"We are working in a private, for-profit university and the students have to pay quite a bit of money to attend, but most of them are only learning English to meet requirements for their careers.",Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,"I'm not sure if it's a matter of stronger teacher support, but I just haven't really utilized a lot of them til this point. ",Agree,Agree,Agree,Agree,Agree,,"There were some issues at first with them wanting me to tutor all of the kids in English when I first arrived, but it's calmed down a lot.","My host parents don't speak English very well, but my host brother and his family speak fluent English. I try to only really acknowledge the fact that he is fluent in English when I really don't understand what my host parents are saying, but the language barrier hasn't been too bad.",Agree,Agree,Neutral,Agree,Neutral,No,,,
