Rank-Recommendation,Question,Question Group,R2-Recommendation,R2-Satisfaction
21,Question 1,4,-0.99,0.41
11,Question 2,3,0.12,-0.46
18,Question 3,3,-0.68,0.26
20,Question 4,4,-0.87,0.34
2,Question 5,2,0.92,-0.63
8,Question 6,1,0.26,-0.05
19,Question 7,1,-0.82,-0.87
17,Question 8,1,-0.63,0.6
15,Question 9,2,-0.29,0.67
6,Question 10,4,0.6,-0.57
12,Question 11,1,-0.06,0.72
4,Question 12,4,0.78,-0.32
14,Question 13,1,-0.14,-0.67
7,Question 14,2,0.42,-0.71
5,Question 15,1,0.75,-0.56
3,Question 16,3,0.87,-0.31
8,Question 17,3,0.26,0.65
10,Question 18,1,0.2,-0.51
1,Question 19,2,0.93,-0.08
13,Question 20,3,-0.11,0.21
16,Question 21,4,-0.41,0.71
